sku,color_name,category,image_url
GM066,Liquid Crescent White,Glossy Metal,https://static.tildacdn.com/stor3930-3233-4530-b462-363730366562/22642326.jpg
GM067,Liquid Silver,Glossy Metal,https://static.tildacdn.com/stor3366-3164-4138-b934-313030663264/70503411.jpg
GM068,Liquid Cherry Red,Glossy Metal,https://static.tildacdn.com/stor3363-3733-4530-a536-356466623137/98317128.jpg
GM069,Liquid Alpine Green,Glossy Metal,https://static.tildacdn.com/stor6434-6232-4464-b436-666134633533/36608040.jpg
GM070,Coffee Beige,Glossy Metal,https://static.tildacdn.com/stor6237-3364-4763-a261-613965666463/51046820.jpg
GM071,Liquid Pink Champagne,Glossy Metal,https://static.tildacdn.com/stor6363-6466-4232-b930-613536366662/17415035.jpg
GM072,Liquid Pinkish Purple,Glossy Metal,https://static.tildacdn.com/stor3665-3932-4238-a536-396537626135/97377353.jpg
GM073,Liquid Tungsten Blue,Glossy Metal,https://static.tildacdn.com/stor3534-6266-4638-a232-613531383739/16613814.jpg
GM074,Liquid Star Silver,Glossy Metal,https://static.tildacdn.com/stor3937-3532-4630-a262-353331316261/58146765.jpg
GM075,Liquid Senior Grey,Glossy Metal,https://static.tildacdn.com/stor3736-3261-4565-b339-326339396634/13611391.jpg
GM076,Violet Rays,Glossy Metal,https://static.tildacdn.com/stor3636-6164-4132-b431-613136633839/72959963.jpg
GM077,Santorini Black,Glossy Metal,https://static.tildacdn.com/stor6364-3637-4635-b765-356135353533/22005371.jpg
MM001,Matt Metal White,Matt Metal,https://static.tildacdn.com/stor3539-3066-4337-b463-353036656434/53878966.jpg
MM002,Matt Metal Black,Matt Metal,https://static.tildacdn.com/stor3361-6530-4563-b665-346235373138/56819246.jpg
MM003,Matt Metal Space Grey,Matt Metal,https://static.tildacdn.com/stor3335-6535-4432-b438-643561326437/33028767.jpg
MM004,Matt Metal Titanium Grey,Matt Metal,https://static.tildacdn.com/stor3664-3538-4331-b462-333935346466/83992203.jpg
MM005,Matt Metal Titanium Sliver,Matt Metal,https://static.tildacdn.com/stor6630-6562-4664-b964-633439303739/12026498.jpg
MM006,Matt Metal AMG Grey,Matt Metal,https://static.tildacdn.com/stor6534-3565-4434-a331-326237376562/80154376.jpg
MM007,Matt Metal Night Purple,Matt Metal,https://static.tildacdn.com/stor6630-6430-4830-b739-373137653466/71517752.jpg
MM008,Matt Metal Tungsten Steel,Matt Metal,https://static.tildacdn.com/stor3231-3566-4862-b361-633530363434/78109512.jpg
MM009,Matt Metal Venom Green,Matt Metal,https://static.tildacdn.com/stor3033-6662-4838-a463-343738613866/68418504.jpg
MM010,Matt Metal Army Green,Matt Metal,https://static.tildacdn.com/stor6338-3036-4732-b163-323839643035/84258799.jpg
MM011,Matt Metal Rose Gold,Matt Metal,https://static.tildacdn.com/stor6636-6439-4134-b232-343535306439/52929164.jpg
MM012,Matt Metal Olive Green,Matt Metal,https://static.tildacdn.com/stor3132-3430-4164-b139-313032653339/11351258.jpg
MM013,Matt Metal Black Purple,Matt Metal,https://static.tildacdn.com/stor3435-6332-4433-b838-323363333631/57395300.jpg
MM014,Matt Metal Blackish Green,Matt Metal,https://static.tildacdn.com/stor3036-6464-4539-b462-613434366563/30911780.jpg
MM015,Matt Metal Capri Grey Purple,Matt Metal,https://static.tildacdn.com/stor6632-3735-4139-a336-396337633533/84197500.jpg
MM016,Matt Metal Dark silver,Matt Metal,https://static.tildacdn.com/stor6134-6437-4437-b362-346162653365/64880251.jpg
MM017,Matt Metal Leaden Grey,Matt Metal,https://static.tildacdn.com/stor3062-6364-4431-b739-316231613462/16826641.jpg
MM018,Matt Metal Gun Grey,Matt Metal,https://static.tildacdn.com/stor3964-6438-4961-b435-383861356431/98565864.jpg
MM019,Matt Metal COVERT GREEN,Matt Metal,https://static.tildacdn.com/stor6639-6261-4337-b062-363562366630/45954079.jpg
MM020,Matt Metal Liquid Silver,Matt Metal,https://static.tildacdn.com/stor3663-3233-4733-b133-363466303637/58946008.jpg
MM021,Matt Metal Shell White,Matt Metal,https://static.tildacdn.com/stor3566-3638-4134-b536-653961303136/57984264.jpg
MM022,Matt Metal Pearl White,Matt Metal,https://static.tildacdn.com/stor3931-3132-4262-a634-643166653434/99912699.jpg
MM023,Matt Metal Racing Blue,Matt Metal,https://static.tildacdn.com/stor6661-6666-4662-a138-333064376666/72406550.jpg
MM024,Matt Metal Romanee Red,Matt Metal,https://static.tildacdn.com/stor6264-3664-4336-a239-333862323530/74635835.jpg
MM025,Matt Metal Blue With Gold,Matt Metal,https://static.tildacdn.com/stor6466-6361-4635-a465-366334376665/34947800.jpg
MM026,Matt Metal Ceramic black,Matt Metal,https://static.tildacdn.com/stor3230-6633-4664-a161-643261643837/75942645.jpg
MM028,Matt Metal Star Silver,Matt Metal,https://static.tildacdn.com/stor6632-6265-4333-a632-343735366361/74858276.jpg
MM029,Matt Metal Black Blue,Matt Metal,https://static.tildacdn.com/stor3163-6531-4334-b464-313661333836/32571278.jpg
MM030,Matt Metal Crescent White,Matt Metal,https://static.tildacdn.com/stor6533-3135-4165-a564-323836643666/95352903.jpg
MM031,Matt Metal Extreme Black,Matt Metal,https://static.tildacdn.com/stor6466-6663-4135-a638-393338646330/53181289.jpg
MM032,Matt Metal Knight Gray,Matt Metal,https://static.tildacdn.com/stor6330-3337-4366-a165-373430336662/77740184.jpg
MM033,Matt Metal Bronze,Matt Metal,https://static.tildacdn.com/stor6135-6437-4636-b438-323561396266/13863644.jpg
MM034,Matt Metal Shadow Brown,Matt Metal,https://static.tildacdn.com/stor6430-3561-4565-a466-346631326439/57802889.jpg
MM035,Matt Metal Chartreuse Green,Matt Metal,https://static.tildacdn.com/stor3638-6635-4834-a632-623639303535/37475519.jpg
MM036,Matt Metal Shadow Gold,Matt Metal,https://static.tildacdn.com/stor6639-3639-4434-b437-643862316437/21137590.jpg
MM037,Matt Metal Flame Red,Matt Metal,https://static.tildacdn.com/stor6161-3739-4339-b733-343762356664/80050946.jpg
MM038,Matt Metal Shadow Blue,Matt Metal,https://static.tildacdn.com/stor3937-6162-4637-b266-346436373765/64905676.jpg
MM039,Matt Metal Desert Yellow,Matt Metal,https://static.tildacdn.com/stor3434-3166-4630-b562-613935643738/22162777.jpg
MM040,Matt Metal Khaki Green,Matt Metal,https://static.tildacdn.com/stor6665-6236-4563-a531-333063666535/92033058.jpg
